review,sentiment
"Went looking for this movie after i read Tom Clancy's ""Red Storm Rising"" novel. Timeless masterpiece about 13th century Russians being invaded by the Germans. Movie was made in 1938, under orders from Joseph Stalin to warn Soviets about Hitler and Germany. Battle scenes are wonderfully done, showing that you don't need computer animation to make a great fight scene. Probably Sergei Eisenstein's greatest work. Also see 'Battleship Potemkin'. Any history buff or poli-sci major should watch this movie. 10 out of 10.",positive
"This is almost like two films--one literate and engaging, the other stupid and clichéd. It's really a shame all the problems weren't worked out with the writing, but considering how quickly most B-movies were written and produced, this isn't too unusual. It's a real shame, though, as this could have been a very good film.<br /><br />First the good. The movie is original and involves WWII code-breakers. This is pretty fascinating and I liked watching the leading man (Lee Bowman) go through his paces as a master code-breaker. In fact, the first two-thirds of the film was very good. But now for the bad, the film just went on way too long and lost steam at about 50 minutes. Additionally, Jean Rogers' role as the ""kooky girlfriend"" must rank as one of the worst-written and distracting roles in film history!! For every smart move made by Bowman, the idiot Rogers then stepped in to screw things up as some sort of misguided ""comedy relief"". If her role had been intelligently written, the overall film would have improved immensely! Instead, watching her, it's hard to understand how we actually won WWII!!",negative
"Diagnosis Murder has been shown on most Weekday afternoons on BBC1 since I used to watch it while ill from School a good 10 years ago - I know I shouldn't really enjoy it, in the same way I shouldn't enjoy 'Murder she Wrote' but I'm totally addicted to both and even have the DVD box-sets....OK I know that's sad!<br /><br />Dick Van Dyke carries the show as he stars as Dr.Mark Sloan a Doctor at Community General Hospital in L.A who is also a Police consultant for the L.A.P.D. - his son Steve (Barry van Dyke - Dick's real life son) is a Police Officer, who needs his father's help on very many Suspicious deaths. <br /><br />Along for the ride is Dr.Amanda Bentley (Victoria Bentley) the resident Pathologist at Community General and for the first couple of seasons you had Scott Baio playing Dr.Jack Stewart, who upped and left the series in 1995 hoping to go on to bigger and better things...he should have stayed where he was, he hasn't done anything of note since....and his only theatrical appearance for many years was in Baby Geniuses 2:Superbabies....Oh Dear!!!<br /><br />anyhow Dr.Jack Stewart was replaced by the younger Dr.Jesse Travis played by Charlie Schlatter who stepped into Baio's shoes pretty comfortably.<br /><br />The series is highly implausible but what Whodunit series isn't? (Murder she wrote - everywhere Jessica goes, someone ends up dead, or The underrated Father Dowling Mysteries about a Murder solving Priest with nun sidekick)<br /><br />The series was much lighter up until 1997 this is because it had a supporting cast that included the bumbling Hospital Manager Norman Briggs played by Michael Tucci along with Nurse & Mark's secretary Dolores played by Delores Hall, After 1997 both these characters were no longer included and the series became a grittier affair with a bigger looking budget, some episodes included far more action, one episode the entire Hospital is blown up.<br /><br />This was a family show For the Van Dyke's because as well as Dick's Son Barry, you also had Dick's Daughter And all his Grandchildren making an appearance in various episodes. <br /><br />As the series went on it got a bit silly, one episode I remember Dick van Dike plays his entire family, which was a bit out of the ordinary, but on the Whole 'Diagnosis Murder' was a really good TV show which had numerous good Guest Stars.<br /><br />Since this show finished in 2001, Dick & Barry have appeared together again in the 'MURDER 101' series of TV Movies made by The Hallmark Channel, pretty much following the same path, and still enjoyable. Dick who's now in his mid 80's doesn't seem to change a great deal, and looks as if he'll be working till the bitter end.<br /><br />TV SHOW **** OUT OF *****",positive
"Written by brilliant Monkees' TV writers Gerald Gardner and Dee Caruso,WHICH WAY TO THE FRONT was the last of the ""Jerry Lewis"" movies until ""Hardly Working"" almost a decade later. Jerry's comedy is evidently an acquired taste, and admittedly he can occasionally be his own worst enemy when he helms as producer/director--but even in the dreariest of his films, there are always moments of brilliance.<br /><br />WHICH WAY manages to be amusing,entertaining and yes,quite funny. It is somewhat unlike any of the typical Lewis films.The pace is very upbeat and ther are lots of excellent supporting players--a kind of JERRY DOES HOGANS HEROES.The whole thing looks kind of like an unsold TV pilot and you will either love it or hate it---but hopefully YOU VILL LAUGH",positive
I am almost tempted to demand my money back from the video store. This movie plumbs the depths of inanity and is almost completely unwatchable. I NEVER bail out of a film early but this was painful to view. A thorough waste of celluloid. My vote 1/10 (it would have been zero).,negative
"This was a highly original decent movie, and a brave move for all those involved. I don't care if it's not the most well put-together movie of all time, the fact that it has Eddie Murphy doing something non-formulaic, and that I don't know what will happen next, makes it a favorite of mine. I wish more movies were as imaginative as this one, rather than the same old formula for entertainment.",positive
"Whilst I have loved haunted house movies such as Amityville and Poltergeist, this made for TV adaption of Susan Hills book packs a huge punch on the horrors of Hollywood.<br /><br />With a brilliant cast (many of which star in Heartbeat and other TV dramas), great acting, and fantastic setting (which portrays 1920's life convincingly), it has all the right ingredients to entice the viewer into what is a powerful ghost story.<br /><br />Herbert Wise did not need blood, violence, or gore to send chills down the spines of an audience. Using your own imagination, the Woman In Black is a figure of fear and dread, and whose presence is never absent once she first appears.<br /><br />The main character Arthur Kidd, a solicitor, learns about his unseen spectre on his mission to settle the estate. The widow dies and Arthur spends few nights inside her dreary home in which he notices many oddities, which may haunt him for some days. Some of the scenes are very unsettling and claustrophobic, particularly the locked room which opens itself, which turns the generator off and closes Arthur in darkness. The film becomes more harrowing the more you put yourself in Arthurs shoes, and his efforts to shake this ghost off. The writer puts many chilling additions into the story, an example being the tin soldier's re-appearance. One is eager to learn the meaning of it all. The fact we never really learn that much about the widow, leaves more to the imagination and makes it all the more unsettling.<br /><br />The widow for the most part, looks vicious and intimidating. The scene after winding the generator sent the chills down me, a woman who appears out of nowhere on isolated marshy land with a howling wind  having been on such properties myself I can appreciate how isolating this is. And the scene in the inn was perhaps the most horrible things I've seen, one I don't wish to watch in a hurry or show to elderly relatives. I have often woken up at night thinking she was behind me in my sleep.<br /><br />The Woman In Black is a great TV movie and a lost gem. I agree to some extent the Internet hype for this film has been totally overblown and can see why people were disappointed after spending the best of £50 on it, but I think the net has defeated hidden gems because it makes films like these over-exposed. I think it's still brilliant and fantastically acted and I consider it the greatest ghost story of the last century.",positive
"Jon Cryer reprises his role as a neurotic guy in Two and a Half Men, which he perfected in this series. He longs to have a good relationship with a girl like his coworker has developed, and the tet-a-tet between him and his partner's girlfriend's best friend are pretty funny. Then they realize that they're attracted to each other and start dating. In one of the funniest lines on TV EVER -- I think in the final episode -- he and his partner are discussing that he wants to propose to the girl. <br /><br />His partner prepares him for the moment by suggesting: ""What's the worst that can happen? She says no.""<br /><br />Armed with newfound optimism, he proposes to his date over dinner. To which she replies, <br /><br />""GOD, no!""<br /><br />I laughed so hard I cried.",positive
"Brought Philip Larkin to life in a way that is worthy of the greatest performances of all time, and not just the ones that are measured by popularity. It shows a stark portrayal of Larkins life as the greatest unrecognized poet of his era - which is exactly how he would have wanted it, such was his disdain for cankers and medallions. It dramatically exposes the raw beauty in the intense sadness of Philips observations of our relationship with our own mortality, and lays it our in a way that seems to have missed even the great philosophers. for anyone interested in profound observations of our relationship with life, love and death this is a must.",positive
"Steve Biko was a black activist who tried to resist the white minority governed South Africa in much the same way as Gandhi tried to resist the British empire's colonialism in India. Richard Attenborough's film Cry Freedom is not about Biko or Apartheid as much as it is about Donald Woods, the white liberal newspaper editor who risked his life trying to tell Biko's story. The film has a jarring point of view switch after Biko dies in prison from tortuous behavior at the hands of South African ""police"". Woods, played by Kevin Kline, must choose whether to do the right thing and flee the country to publish books about Biko or allow his wife, played by Penelope Wilton, to pressure him into forgetting about the books. In that case, Biko dies in vain. What begins as a life-changing friendship between Biko and Woods degenerates into a standard by the numbers escape over the border yarn after Biko's death. Oscar-nominated Denzel Washington is good in only his fourth film as Biko, but something is wrong in a film that tries to depict the struggles of Apartheid by focusing more on the trials of a white family for more than half the film. Attenborough would have served his topic better by focusing on Biko's rise to prominence instead of beginning where Biko befriended Woods. Perhaps a black actor in a leading role in a 2 1/2 hour film wasn't exactly conducive to big box office, but the film was a tremendous box office flop anyway. Film politics aside, the film still entertains and sends a message or two, albeit, in PG-sanitized fashion. *** of 4 stars.",positive
"I tend to get furious when hearing about Lucio Fulci's reputation as a director. Too often he's categorized as a no-talented filmmaker, only out to shock and disgust entire audiences with images of pure gore. True, his films contain more explicit filth and sickness as your average mainstream American production, but his films always are of wide range and the plots are gruesomely morbid. Don't Torture a Duckling is yet another story! This film is a pure gem of the Italian shock cinema! I easily dare to call this film a masterpieceit's an old-fashioned giallo that includes all brilliant aspects of genuine horror. The film shows the search for a inhuman serial murderer in a small Italian mountain-town. The bodies of 3 young boys are found, horribly mutilated. There are quite a lot of pseudo-madmen in the town but every trail leads to nowhere. Among the suspects are a greedy bum and a scary woman, obsessed by witchery and voodoo. Like a true mastermind, Fulci knows to find the right creepy tone for his film. He portrays the small town as a claustrophobic and inescapable setting of macabre happenings, supported by a giddy soundtrack. Fulci also develops himself as a genius storyteller here. The script always is one step ahead of you and the complex plot will mislead you more than once. In other words, this is a unique giallo (horror slash murder mystery). The gore isn't presented as grotesque and explicit as in Lucio's later milestones (among them are the legendary Zombie 2, The Beyond and the New York Ripper), although there still are a few nauseating and hard-to-watch shock-sequences shown. <br /><br />Don't torture a Duckling is the most compelling and effective achievement Lucio Fulci ever brought forward and it easily ranks among the greatest Italian horror movies ever made. Right next to the masterpieces made by Mario Bava and Dario Argento. The film is fascinating from start to finish, some plot aspects are alarmingly realistic and the tension is adrenalin-rushing at all times! A must see for horror fans and an absolute priority for Italian shock-lovers!",positive
"It's astonishing that some people saw this as art. We saw it as a poorly filmed (shaky hand-held camera and all), (generally) badly acted, unscripted mess that seemed more like a high school film project with the kids experimenting in black & white film making. Injecting mounds of poetry in place of a story does not an art film make. When we watched this in the theatre, people were starting to have fits of the giggles (us included) at the endless stupidity of this self-indulgent, meandering mess. And believe me, it does seem endless. Had we finished our candy and popcorn, we too would have walked out of the theatre with the other two dozen people who packed up and left looking for something more interesting to do!",negative
"Wimpy stuffed shirt Armand Louque (blandly played by veteran character actor Dean Jagger in a rare lead role) joins a group of researchers who want to find and destroy the secret technique of creating zombies. Armand falls for the lovely Claire Duval (fetching blonde Dorothy Stone), who uses the meek sap to get Armand's colleague Clifford Grayson (the hopelessly wooden Robert Noland) to marry her. Furious over being used and spurned by Claire, Armand uses his knowledge of voodoo to get revenge. Sound exciting? Well, it sure ain't. For starters, Victor Halperin's static (non)direction lets the meandering and uneventful talk-ridden story plod along at an excruciatingly slow pace. Worse yet, Halperin crucially fails to bring any tension, atmosphere and momentum to the hideously tedious proceedings. The mostly blah acting from a largely insipid cast doesn't help matters any; only George Cleveland as the hearty General Duval and E. Alyn Warren as the irascible Dr. Trevissant manage to enliven things a bit with their welcome and refreshing hammy histrionics. The drippy stock film library score, the painfully obvious stagebound sets, and the crude cinematography are pretty lousy and unimpressive as well. In fact, this feeble excuse for a fright feature is so crummy that not even the uncredited starkly staring eyes of the great Bela Lugosi can alleviate the brain-numbing boredom. A dismally dull dud.",negative
"Treading Water is a very beautiful movie. I would put it straight under the wonderful short movie : Cosa bella from Fiona MacKenzie. It's not only about coming out but also about tolerance and acceptance in general. I am looking forward to seeing more of Laurel Himmel's work in the future. The actors, Angie Redman and Nina Landey are quite good. The main characters relationship could have been strenghtened a bit as we understand there is a very strong bond between them but maybe this could have been explained a bit. I am surprised that Angie Redman doesn't appear much in other movies. A great first step as a director for Laurel Himmel, I am sure there's more to see from her skills.",positive
